Category,target_url,target_url_domain,target_url_agency_owner,target_url_bureau_owner,viewport_meta_tag,scan_date
no tag,ap.gov,ap.gov,Department of Commerce,TCD / BIS / Dept of Commerce,FALSE,2024-02-10T00:47:25.621Z
no tag,cdm.aviationweather.gov,aviationweather.gov,Department of Commerce,National Weather Service,FALSE,2024-02-10T00:52:55.104Z
no tag,token.bea.gov,bea.gov,Department of Commerce,Bureau of Economic Analysis,FALSE,2024-02-10T00:50:29.168Z
no tag,pss.tco.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:05:35.096Z
no tag,id-provider.tco.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:06:47.497Z
no tag,registration.tco.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:04:42.233Z
no tag,embargo.data.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:00:19.537Z
no tag,pssvlab.tco.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:03:37.962Z
no tag,provisioning.tco.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T07:57:30.385Z
no tag,respond.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T01:29:25.347Z
no tag,outage.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:01:45.646Z
no tag,data.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:03:09.566Z
no tag,datamapper.geo.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:03:46.947Z
no tag,vdid.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:07:48.915Z
no tag,ca.apps.tco.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:02:26.927Z
no tag,gis.data.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:03:06.628Z
no tag,id-providervlab.tco.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:03:51.405Z
no tag,gis.geo.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:04:33.873Z
no tag,econhelp.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:07:17.971Z
no tag,tigerweb.geo.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:07:22.168Z
no tag,ca.e.apps.tco.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:02:24.303Z
no tag,services.geo.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:03:58.010Z
no tag,meta.geo.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:05:29.866Z
no tag,flowsmapper.geo.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:08:52.323Z
no tag,ledextract.ces.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:09:02.741Z
no tag,lehdweb.ces.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:09:04.825Z
no tag,broadcast.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:09:05.694Z
no tag,ftp.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:09:32.201Z
no tag,catalog.mso.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:00:14.496Z
no tag,ftp2.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:00:20.698Z
no tag,lehd.ces.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:02:14.453Z
no tag,harvester.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:03:07.755Z
no tag,bhs.econ.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:03:13.963Z
no tag,j2jexplorer.ces.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:08:21.409Z
no tag,respond.qa.census.gov,census.gov,Department of Commerce,Census Bureau,FALSE,2024-02-10T03:10:10.765Z
no tag,2001-2009.commerce.gov,commerce.gov,Department of Commerce,Department of Commerce,FALSE,2024-02-10T01:21:42.489Z
no tag,dir.commerce.gov,commerce.gov,Department of Commerce,Department of Commerce,FALSE,2024-02-10T01:27:16.131Z
no tag,mbda.commerce.gov,commerce.gov,Department of Commerce,Department of Commerce,FALSE,2024-02-10T01:26:30.210Z
no tag,e-learning.commerce.gov,commerce.gov,Department of Commerce,Department of Commerce,FALSE,2024-02-10T02:59:10.800Z
no tag,2010-2014.commerce.gov,commerce.gov,Department of Commerce,Department of Commerce,FALSE,2024-02-10T03:24:48.700Z
no tag,remoteapps.eas.commerce.gov,commerce.gov,Department of Commerce,Department of Commerce,FALSE,2024-02-10T01:27:52.213Z
no tag,www.cwc.gov,cwc.gov,Department of Commerce,Bureau of Industry and Security,FALSE,2024-02-10T04:03:52.296Z
no tag,cwcweb.cwc.gov,cwc.gov,Department of Commerce,Bureau of Industry and Security,FALSE,2024-02-10T07:46:43.919Z
no tag,iap.cwc.gov,cwc.gov,Department of Commerce,Bureau of Industry and Security,FALSE,2024-02-10T04:00:48.202Z
no tag,dbmws.freqcoord.ntia.doc.gov,doc.gov,Department of Commerce,Office of the Chief Information Officer,FALSE,2024-02-10T01:33:16.145Z
no tag,ntiaotiant2.ntia.doc.gov,doc.gov,Department of Commerce,Office of the Chief Information Officer,FALSE,2024-02-10T01:48:47.648Z
no tag,learn.doc.gov,doc.gov,Department of Commerce,Office of the Chief Information Officer,FALSE,2024-02-10T01:33:15.596Z
no tag,freqcoord.ntia.doc.gov,doc.gov,Department of Commerce,Office of the Chief Information Officer,FALSE,2024-02-10T01:38:47.309Z
no tag,tac.bis.doc.gov,doc.gov,Department of Commerce,Office of the Chief Information Officer,FALSE,2024-02-10T03:31:11.571Z
no tag,snapr.bis.doc.gov,doc.gov,Department of Commerce,Office of the Chief Information Officer,FALSE,2024-02-10T01:33:17.489Z
no tag,learning.doc.gov,doc.gov,Department of Commerce,Office of the Chief Information Officer,FALSE,2024-02-10T01:34:54.140Z
no tag,emenuapps.ita.doc.gov,doc.gov,Department of Commerce,Office of the Chief Information Officer,FALSE,2024-02-10T01:35:25.356Z
