initial_url,initial_domain,url,domain,agency,bureau,issue
https://ehc-stage.ahrq.gov,ehc-stage.ahrq.gov,https://id.ahrq.gov/app/zscaler_private_access/exk7ajtt3jjvnpsxV297/sso/saml?SAMLRequest=hZJfb5swFMW%2FiuV3MDgQgxVSZauqVeq0LKF92Et1S24aMrCpr0FRP31p%2FmidJnWPls895%2Fj%2BPLs6tA0b0FFtTcHjMOIMTWU3tXku%2BH15E2T8aj4jaBvZ6UXvd2aFLz2SZ%2BOgIX26KXjvjLZANWkDLZL2lV4vvt9pGUa6c9bbyjacLYjQ%2BTHqqzXUt%2BjW6Ia6wvvVXcF33nekhXi3pC587eDZDqFBL2DMFUpGqZommcozNY2jNBdElrPrsUttwB%2F7XyzqTQg79xKOBgK6TrxSBQ26x87VA3h8hKpCIoGH3wr23k%2F2%2B8F0dHiQuXp3PVbg7Ma6Co9vLvgWGkLObq8Lvlj9nESQpwoCuc2yIEnUNshBYvCUxQqTbCrTSTxqaQlE9YB%2Fpol6vDXkwfiCy0imQZQGMi6jSE9SHaswlskvzpbnhX2pzQnEZ9t9OolIfyvLZbD8sS45e7gAHQX8jE8f091Hbp8bwwUWn%2F8HTYseNuDhX0Yz8TF7fj7%2B%2FZPmbw%3D%3D&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=tLZzaDMddZ7h46sPkix2cgrgB9WDLjoSHxCIkHF9e8V8p5WLJv8OImTmtWJAJ7EUaykKJ16SJoe7EPc8k90XjbC4kZg50rfeJ1ekGDsNlQDT14g7t%2F6xid5w8raLax%2FVRHhdu8k8%2ButsVkk%2FRhOJSyaLBFCzKQzK7pNq6P38YFYar5hsqafScMqdYZEsaKrH2tBO5IX2JczvJkiZnASdYladTMhhxDvIJNzIq4%2FJQoG%2BbzHr86D3ZOPUQ7dzsIC7odky2UL807%2Briw5yBRfFz3%2BCqbTxF5PIP%2BOy2r0%2BqRHxuOgvJTteT%2FOnD8KnHXX6R5I0UiLUUXMHqNmF%2FhlzZg%3D%3D,id.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality,suspected meta redirect
https://ia-stage.ahrq.gov,ia-stage.ahrq.gov,https://id.ahrq.gov/app/zscaler_private_access/exk7ajtt3jjvnpsxV297/sso/saml?SAMLRequest=hZLNbtswEIRfReBdokRZlkxYDtwGQQOkqGsrOfQSrKltLFciGS4lGHn6yn9oigLphQDB3ZnZ%2FTi%2FOXRtMKCjxuiSJVHMAtTK1I1%2BKdljdRcW7GYxJ%2BhaYeWy9zu9xtceyQdjoyZ5filZ77Q0QA1JDR2S9Epull8fpIhiaZ3xRpmWBUsidH60%2Bmw09R26DbqhUfi4fijZzntLkvOjJNnozcKLGSKNnsPoy3MRZ%2Fl0UuSzIp8mcTbjRIYFt2OWRoM%2F5b9KNHUEO%2FcajQIcrOVvpKBF92xdM4DHZ1AKiTgefuWw9z7d7wdt6fAkZvlR9RSBBXfGKTzNXLKf0BKy4P62ZMv1dwBVzOoi3G5TFU4m41GM2cJ6IlKYplmc1MdaWgFRM%2BCfbqIe7zV50L5kIhZZGGehSKoklXEm0yQSWfqDBavLwj41%2Bgzio%2B1uz0Ukv1TVKlx921QseLoCHQvYBZ88ubv33D4WhisstvgPmg491ODhX0Zz%2Ft57cbn%2B%2FZMWvwE%3D&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=uBV4lWIb%2FdOyEXS%2Fm0f7Sd1SoRYvKDANnh42AlML%2FLOZ%2FEJHoSPeTMT7E4u8mFRYnbFpc0W0U3PqtnJIeavFrXq%2FWEq0%2FjQSO6j11M5JqM2DcK%2Bp9%2B%2Fwmc0k%2F6d6dceFp6EhKrsNEvkJGREp829Br79o5UijTFKd52Zo7mT7CMle59UxMtkedyDngq4DHKdBP7f8CNDcNPGPwV0IIUjJIGhN6gUCdi%2BhkRTPCAUvDsJ8ePNFZFgG14mwHHZ%2FLNoTFUPRDJ0im7FW9M1o8tP%2F9UjUfKGWwRsKybNqUTPf%2FvCOD5dbTdhgg4b%2FO3%2FiOkZoU8Tl%2BBgnAjjivdyz19wqDA%3D%3D,id.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality,suspected meta redirect
https://pso-stage-admin.ahrq.gov,pso-stage-admin.ahrq.gov,https://id.ahrq.gov/app/zscaler_private_access/exk7ajtt3jjvnpsxV297/sso/saml?SAMLRequest=hZJLb9swEIT%2FisC7REqmXoTlwG0QNECKuraSQy%2FBlt7EciVS4VKCkV9fxQ80RYH0SHB2Zrgf51eHrg1GdNRYU7E4EixAo%2B22Mc8Vu69vwoJdLeYEXZv0ajn4nVnjy4Dkg2nQkDrdVGxwRlmghpSBDkl5rTbLr3cqiYTqnfVW25YFSyJ0for6bA0NHboNurHReL%2B%2Bq9jO%2B54U52%2BW1EevPTzbMTLoOUy5PE9EmmeyyMsiz2KRlpzIsuB66tIY8Mf%2BF4tmG8HOvUSTAYe%2B56%2BkoUX32LtmBI%2BPoDUScTz8ymHv%2FWy%2FH01Ph4ekzN9cjxVYcGOdxuObK%2FYELSELbq8rtlx%2FT9P0KdZlmBUaQim3EEKSyVCWYiYxFllRyElLKyBqRvwzTTTgrSEPxlcsEUkaijRM4lpIJWZKZlGaxz9YsDov7FNjTiA%2B2u7Pk4jUl7pehatvm5oFDxegk4Cd8aljunvP7WNjuMBii%2F%2Bg6dDDFjz8y2jO32cvzse%2Ff9LiNw%3D%3D&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=MDbtQYQzPw%2B7PndR%2FLs2uQkkRfGC72XZ9GyBVfIpovYX8mJ6ougsu9ek1sqZJE78Z8ENv98Q%2BMuN6gJfPK3lXMpJh1xY%2FjguAHve3m5qBkq3AUjLOMrXEZlX3xc9EbMya1bWdjd032qfyKUxax27zn9lo%2BtnUTpcW0eh6Vyf3NbPR07mNxP9Ks7xNpEWIh3DoNQHjQ9U9kieSXRtG2r9dOCGHf6WETj1qjI3ehLytWdC8vRvVCOFUhXX2zdWC%2F7wHffDlhnSW0BsRGKA7IPiQIrQqAXMfT%2FHC7fV4hi5Ji1g56DuouLIw4%2F1zzcxcxmSdtMCIOPBNuUrESk3oqfYGg%3D%3D,id.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality,suspected meta redirect
https://pso-stage.ahrq.gov,pso-stage.ahrq.gov,https://id.ahrq.gov/app/zscaler_private_access/exk7ajtt3jjvnpsxV297/sso/saml?SAMLRequest=hZJbT%2BMwEIX%2FiuX33EyTNFZT1F2EQALRbQMP%2B4ImyZS6JHbwOFHFryf0omW1Evtoeeac4%2FN5drlvGzagJWV0ziM%2F5Ax1ZWqlX3L%2BWFx7U345nxG0jejkondbvcK3HsmxcVGTPN7kvLdaGiBFUkOLJF0l14v7Oyn8UHbWOFOZhrMFEVo3Wv00mvoW7RrtoCp8XN3lfOtcRzIIPiWp8987eDGDr9EFMPoGqQjjNJlM02yaJlEYZwGR4exqzKI0uEP%2Bs4SqfdjaN38UCKDrgneqoEH73Fk1gMNnqCokCnD%2FmsLOuYvdbtAd7Z9Eln6qHiJwdm1shYc353wDDSFnt1c5X6x%2B1Vki6iz0ynhTehOExCtL3HhJGZVhDelFlUXjLC2BSA34Z5uox1tNDrTLuQhF7IWxJ6IiiqSI5GSsX0x%2Bc7Y8FfZD6SOI79otj0Mkb4pi6S0f1gVnT2eg4wA%2F4ZMHd%2FuV2%2FfCcIbF5%2F9B06KDGhz8y2gWfPWen45%2F%2F6T5Bw%3D%3D&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=c%2BlU7adJ4b5sQN0%2BjDpmmPg4Ydvz6tk4Hezw9UrVBYEMr2k1OL86ZhhrPNIOrDxphTiI4smtpTxtVRXnbNy85os5S7cYCWhTUE2Sn3boNDDCr4m64FURHV0YTSlVvIBtNyC8mIORL8tZbCzI%2Feo70Mbh%2BdrAru6Msy4LANpJRMLZItUfDolddujHl1QdpB7GiXVjMNeszyMiGx4l48VkN5zSc2f8rnGrB2fKWpGl8nZjSNR%2BnM8zjk9cYhsWFsWReJJ%2FwZPBWRulJZm9FERZPQMmRdeujuoNo2nmDbnivfT7l%2B4BNzTUh7%2Fuolz6Gndma%2FfwBN7TMeWr0SUlSG0tBg%3D%3D,id.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality,suspected meta redirect
https://ai.gov,ai.gov,https://www.whitehouse.gov/,www.whitehouse.gov,Executive Office of the President,Executive Office of the President,suspected meta redirect
https://widget.airnow.gov,widget.airnow.gov,https://www.airnow.gov/aqi-widgets/,www.airnow.gov,Environmental Protection Agency,Environmental Protection Agency,suspected meta redirect
https://techcamp.america.gov,techcamp.america.gov,https://eca.state.gov/programs-and-initiatives/initiatives/techcamp,eca.state.gov,Department of State,Bureau of Global Public Affairs (GPA),suspected meta redirect
https://blogs.archives.gov,blogs.archives.gov,https://www.archives.gov/social-media/blogs,www.archives.gov,National Archives and Records Administration,National Archives and Records Administration,suspected meta redirect
https://museum.archives.gov,museum.archives.gov,https://visit.archives.gov/,visit.archives.gov,National Archives and Records Administration,National Archives and Records Administration,suspected meta redirect
https://archive.arm.gov,archive.arm.gov,https://adc.arm.gov/discovery/#/,adc.arm.gov,Department of Energy,Battelle Pacific Northwest National Laboratory,suspected meta redirect
https://acc.army.mil,acc.army.mil,https://www.army.mil/acc,www.army.mil,Department of Defense,Army,suspected meta redirect
https://benefits.gov,benefits.gov,https://www.usa.gov/benefit-finder?utm_source=usa_benefits-gov&utm_medium=redirect&utm_campaign=redirect_benefits-gov&modal=b-welcome-1899,www.usa.gov,General Services Administration,Office of the Chief Information Officer,suspected meta redirect
https://api.bls.gov,api.bls.gov,https://www.bls.gov/data/,www.bls.gov,Department of Labor,Bureau of Labor Statistics,suspected meta redirect
https://beta.bls.gov,beta.bls.gov,https://www.bls.gov/beta/,www.bls.gov,Department of Labor,Bureau of Labor Statistics,suspected meta redirect
https://blscompdataorigin1.bls.gov,blscompdataorigin1.bls.gov,https://blscompdata.bls.gov/NCSLite/login,blscompdata.bls.gov,Department of Labor,Bureau of Labor Statistics,suspected meta redirect
https://cesdataorigin1.bls.gov,cesdataorigin1.bls.gov,https://cesdata.bls.gov/CESLite,cesdata.bls.gov,Department of Labor,Bureau of Labor Statistics,suspected meta redirect
https://data.bls.gov,data.bls.gov,https://www.bls.gov/data/,www.bls.gov,Department of Labor,Bureau of Labor Statistics,suspected meta redirect
https://idcfarsorigin1.bls.gov,idcfarsorigin1.bls.gov,https://idcfars.bls.gov/ARS/authentication/login,idcfars.bls.gov,Department of Labor,Bureau of Labor Statistics,suspected meta redirect
https://idcfoewsorigin1.bls.gov,idcfoewsorigin1.bls.gov,https://idcfoews.bls.gov/OEWSLite,idcfoews.bls.gov,Department of Labor,Bureau of Labor Statistics,suspected meta redirect
https://idcforigin1.bls.gov,idcforigin1.bls.gov,https://idcf.bls.gov/authentication/login,idcf.bls.gov,Department of Labor,Bureau of Labor Statistics,suspected meta redirect
https://idcftbbsorigin.bls.gov,idcftbbsorigin.bls.gov,https://idcftbbs.bls.gov/BBS/authentication/login,idcftbbs.bls.gov,Department of Labor,Bureau of Labor Statistics,suspected meta redirect
https://joltsdataorigin1.bls.gov,joltsdataorigin1.bls.gov,https://joltsdata.bls.gov/JOLTS,joltsdata.bls.gov,Department of Labor,Bureau of Labor Statistics,suspected meta redirect
https://stats.bls.gov,stats.bls.gov,https://www.bls.gov/,www.bls.gov,Department of Labor,Bureau of Labor Statistics,suspected meta redirect
https://trainingorigin1.bls.gov,trainingorigin1.bls.gov,https://training.bls.gov/LMS/,training.bls.gov,Department of Labor,Bureau of Labor Statistics,suspected meta redirect
https://bondpro.gov,bondpro.gov,https://www.treasurydirect.gov/savings-bonds/cashing-a-bond/savings-bond-pro/,www.treasurydirect.gov,Department of the Treasury,Bureau of the Fiscal Service,suspected meta redirect
https://antibodies.cancer.gov,antibodies.cancer.gov,https://proteomics.cancer.gov/antibody-portal/,proteomics.cancer.gov,Department of Health and Human Services,"National Cancer Institute, NIH",suspected meta redirect
https://applications.prevention.cancer.gov,applications.prevention.cancer.gov,https://prevention.cancer.gov/,prevention.cancer.gov,Department of Health and Human Services,"National Cancer Institute, NIH",suspected meta redirect
https://assays.cancer.gov,assays.cancer.gov,https://proteomics.cancer.gov/assay-portal/,proteomics.cancer.gov,Department of Health and Human Services,"National Cancer Institute, NIH",suspected meta redirect
https://ccg-cms.cancer.gov,ccg-cms.cancer.gov,https://iam.cancer.gov/app/nih-nci_ocplwwwcms_1/exkbuyz354E79P73X297/sso/saml?SAMLRequest=fVPRjtowEHznK055D06AAGcBEoVri0QhAlpVfUFms4DVxE69zsH16%2BskUGjV4hcr65nx7HgzIJGlOR8X9qhW%2BKNAso0nt85ZqohXh0OvMIprQZK4EhkSt8DX409z3moGPDfaatCp9xftMUsQobFSq5o2mw695eJlvvwwW2wDEEmnHSZRtNsh9PeiF3aSjhBhV3S72AaMgqTfhX5N%2FYKGnM7Qc7Jeo1YjKnCmyAplXT1oRX4Q%2Ba1wE4S8E%2FAg%2BlZTp65ZqYSt6Edrc%2BKMSZE1QShA0zzoVybynCl59BXIrYY8PZ1OkNE2ZHj%2BvivefrajzkvvOe61v7aee4xIs7L5Wj%2B%2BRPNOqkSqw%2BNEdjWI%2BMfNJvbj5XpTi4yvSU20oiJDs0bzKgE%2Fr%2BY30wAH39m6N%2B5KlRUmgLxRJTUov3mVjhldqe79Et9h9nfkAbtH3rg5Xzjfs2msUwlvVb1c77XJhP1%2Fe2EzrCoy8fcVlBeKcgS5l5h4v2XGaapPE4PC4tCzpkDvif1x%2BWU%2BMamm1eVh8WyfJjrLhZFUPiKeBdhLt7eO7%2BGT1I3eCvejh9MJHEqcK8duO2mTlG%2BJ4O7eGOHMa2MvIf1TvHbNHtgeNa7H97%2Fe6Bc%3D&RelayState=https%3A%2F%2Fccg-cms.cancer.gov%2Fccg%2Fsaml%2Flogin&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=o36vRmTuLKJkOLjjHU7NcaH1w4mJp28FyAiszdI86iioAAI4xLRaKJMQVwxm2RJ95pPk0453XEYuzz8Y87JWeRuMxUev%2F%2BjFRInTAwsyoK4VeGl7gaiF%2FIxMEvHIJj5Q8Tx9SUbPHGJ30UN66v%2FmmyhuM4c%2FQnXoTJSqvtWX8KCrZ1oTokKeaJZGXFOuXGmCFH1XCFoPfecFZnYPxAAWbO6uaqM6ZjZdLRqsV8WLFgdL91UtPOFJdW46IdbNy4pXT1WNpggF%2FxYvcBLTQhJOlcDIMH3%2FwvQK%2BAMVTz4TkxDn3Lp2mQBR02RJuD%2BT%2BNgeUHPCkjOG0E1AYwUdvEZlMA%3D%3D,iam.cancer.gov,Department of Health and Human Services,"National Cancer Institute, NIH",suspected meta redirect
https://cpfp.cancer.gov,cpfp.cancer.gov,https://prevention.cancer.gov/major-programs/cancer-prevention-fellowship-program-cpfp,prevention.cancer.gov,Department of Health and Human Services,"National Cancer Institute, NIH",suspected meta redirect
https://cptr.cancer.gov,cptr.cancer.gov,https://spitr.ccr.cancer.gov/,spitr.ccr.cancer.gov,Department of Health and Human Services,"National Cancer Institute, NIH",suspected meta redirect
https://cptr.ccr.cancer.gov,cptr.ccr.cancer.gov,https://spitr.ccr.cancer.gov/,spitr.ccr.cancer.gov,Department of Health and Human Services,"National Cancer Institute, NIH",suspected meta redirect
https://dataservice.datacommons.cancer.gov,dataservice.datacommons.cancer.gov,https://general.datacommons.cancer.gov/#/,general.datacommons.cancer.gov,Department of Health and Human Services,"National Cancer Institute, NIH",suspected meta redirect
